Primary_Occupation,Registration_Count,Last_Updated
AGRICULTURE,149218499,2022-12-14T08:50:14Z
"BEAUTY & WELLNESS",1882338,2022-12-14T08:50:14Z
BFSI,40716,2022-12-14T08:50:14Z
RETAIL,2228704,2022-12-14T08:50:14Z
"ELECTRONICS & HW",4711917,2022-12-14T08:50:14Z
PROFESSIONALS,752278,2022-12-14T08:50:14Z
"WOOD & CARPENTRY",173728,2022-12-14T08:50:14Z
APPAREL,17813829,2022-12-14T08:50:14Z
CONSTRUCTION,25866765,2022-12-14T08:50:14Z
"GEM & JEWELLERY",641155,2022-12-14T08:50:14Z
"PRIVATE SECURITY",415815,2022-12-14T08:50:14Z
"OFFICE ADMINISTRATION & FACILITY MANAGEMENT",2183105,2022-12-14T08:50:14Z
"AUTOMOBILE & TRANSPORTATION",7959726,2022-12-14T08:50:14Z
MINING,429827,2022-12-14T08:50:14Z
"TOURISM & HOSPITALITY",3798418,2022-12-14T08:50:14Z
"MUSICAL INSTRUMENTS",94317,2022-12-14T08:50:14Z
SERVICE,262243,2022-12-14T08:50:14Z
"CAPITAL GOODS & MANUFACTURING",6704913,2022-12-14T08:50:14Z
"TOBACCO INDUSTRY",2115029,2022-12-14T08:50:14Z
PRINTING,459296,2022-12-14T08:50:14Z
"LEATHER INDUSTRY WORKS",5539410,2022-12-14T08:50:14Z
"DOMESTIC AND HOUSEHOLD WORKERS",27863253,2022-12-14T08:50:14Z
MISCELLANEOUS,12120174,2022-12-14T08:50:14Z
"GLASS & CERAMICS",58284,2022-12-14T08:50:14Z
"HANDICRAFTS & CARPETS",2153318,2022-12-14T08:50:14Z
HEALTHCARE,3080656,2022-12-14T08:50:14Z
"TEXTILE & HANDLOOM",191178,2022-12-14T08:50:14Z
"ORGANISED RETAIL",81363,2022-12-14T08:50:14Z
OTHERS,66,2022-12-14T08:50:14Z
"NOT PROVIDED",77405,2022-12-14T08:50:14Z
"FOOD INDUSTRY",946334,2022-12-14T08:50:14Z
EDUCATION,4843744,2022-12-14T08:50:14Z
