"S. No (Col. 1)","Crime Head (Col. 2)","Cases Pending Investigation from Previous Year (Col. 3)","Cases Reported during the year (Col. 4)","Cases Reopened for Investigation (Col. 5)","Total Cases for Investigation (Col. 6) = (Col.3+ Col.4+ Col.5)","Cases Not Investigated Under 157_1_b CRPC (Col. 7)","Cases Transferred to other State or Agency (Col. 8)","Cases Withdrawn by the Govt during investigation (Col. 9)","Final Report - Cases Ended as FR Non Cognizable (Col. 10)","Final Report - Cases Ended as Final Report False (Col. 11)","Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col. 12)","Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col. 13)","Final Report - Cases Abated during Investigation (Col. 14)","Final Report - Total (Col. 15) = (Col.10+ Col.11+ Col.12+ Col.13+ Col.14)","Chargesheets submitted - Cases Chargesheeted Out of Cases from Previous Year (Col. 16)","Chargesheets submitted - Cases Chargesheeted Out of Cases during the Year (Col. 17)","Chargesheets submitted - Cases Chargesheeted (Col. 18) = (Col.16+ Col.17)","Total Cases Disposed Off by Police (Col. 19) = (Col.7+ Col.8+ Col.15+ Col.18)","Cases Quashed at Investigation Stage (Col. 20)","Cases Stayed at Investigation Stage (Col. 21)","Cases Pending Investigation at End of the Year (Col. 22) = (Col.6- Col.9- Col.19- Col.20)","ChargeSheeting Rate (Col. 23) = (Col.18/ Col.19) *100","Pendency Percentage (Col. 24) = (Col.22/ Col.6) *100"
1,"Murder with Rape/Gang Rape",131,283,0,414,0,1,0,0,4,1,7,1,13,25,208,233,247,0,0,167,94.3,40.3
2,"Dowry Deaths",3294,7115,2,10411,0,5,0,2,174,154,336,6,672,1816,4471,6287,6964,1,0,3446,90.3,33.1
3,"Abetment to Suicide of Women",2788,5009,7,7804,0,10,0,0,201,90,126,9,426,1365,2888,4253,4689,8,3,3107,90.7,39.8
4,Miscarriage,102,221,0,323,0,1,0,0,11,10,50,0,71,29,98,127,199,0,0,124,63.8,38.4
5,"Acid Attack",61,150,0,211,0,0,0,2,5,2,15,1,25,26,95,121,146,1,0,64,82.9,30.3
6,"Attempt to Acid Attack",27,42,0,69,0,0,0,0,0,0,3,0,3,8,26,34,37,0,0,32,91.9,46.4
7,"Cruelty by Husband or his relatives",47789,125298,25,173112,2,185,5,63,7606,6939,6926,254,21788,23841,72671,96512,118487,178,112,54442,81.5,31.4
8,"Kidnapping and Abduction of Women",49195,72780,24,121999,2,30,0,147,11942,17420,12204,417,42130,8945,19148,28093,70255,27,45,51717,40,42.4
8.1,"Kidnapping and Abduction",19075,30633,8,49716,2,18,0,102,5208,9970,3935,270,19485,2211,6224,8435,27940,4,5,21772,30.2,43.8
8.2,"Kidnapping and Abduction in order to Murder",140,109,0,249,0,0,0,0,8,9,30,0,47,8,31,39,86,0,0,163,45.3,65.5
8.3,"Kidnapping for Ransom",127,78,2,207,0,0,0,0,10,10,19,0,39,30,29,59,98,0,0,109,60.2,52.7
8.4,"Kidnapping and Abduction of Women to compel her for marriage",22602,32260,9,54871,0,5,0,43,4478,5695,7034,94,17344,5325,10002,15327,32676,14,40,22181,46.9,40.4
8.4.1,Women,15527,16645,3,32175,0,4,0,42,2832,2868,5046,83,10871,3419,5023,8442,19317,7,18,12851,43.7,39.9
8.4.2,Girls,7075,15615,6,22696,0,1,0,1,1646,2827,1988,11,6473,1906,4979,6885,13359,7,22,9330,51.5,41.1
8.5,"Procuration of Minor Girls",2655,3117,0,5772,0,1,0,0,634,388,326,15,1363,555,914,1469,2833,3,0,2936,51.9,50.9
8.6,"Importation of Girls from Foreign Country",9,3,0,12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11,100,91.7
8.7,NA,4587,6580,5,11172,0,6,0,2,1604,1348,860,38,3852,816,1947,2763,6621,6,0,4545,41.7,40.7
9,"Human Trafficking",608,966,6,1580,0,2,0,0,12,19,46,12,89,291,485,776,867,0,1,713,89.5,45.1
10,"Selling of Minor Girls",114,22,0,136,0,0,0,0,1,5,6,0,12,15,12,27,39,0,0,97,69.2,71.3
11,"Buying of Minor Girls",30,8,0,38,0,0,0,0,0,2,1,0,3,0,3,3,6,0,0,32,50,84.2
12,Rape,13480,32033,23,45536,1,117,1,39,3652,622,1127,64,5504,6605,18243,24848,30470,104,35,14961,81.5,32.9
12.1,Women,10900,27093,20,38013,1,106,1,39,3355,568,1037,62,5061,5124,15492,20616,25784,69,32,12159,80,32
12.2,Girls,2580,4940,3,7523,0,11,0,0,297,54,90,2,443,1481,2751,4232,4686,35,3,2802,90.3,37.2
13,"Attempt to Commit Rape",1836,3944,1,5781,0,3,0,3,718,96,266,15,1098,833,2102,2935,4036,0,0,1745,72.7,30.2
13.1,Women,1627,3608,0,5235,0,3,0,3,691,85,237,12,1028,785,1914,2699,3730,0,0,1505,72.4,28.7
