"Taluk name","Total Agricultural Land Holders _Others_Numbers_Male","Total Agricultural Land Holders _Other_Numbers_Female","Total Agricultural Land Holders _Others_Numbers_Institution","Total Agricultural Land Holders _Others_Numbers_Total","Total Agricultural Land Holders _Others_Area_Male","Total Agricultural Land Holders _Others_Area_Female","Total Agricultural Land Holders _Others_Area_Institutions","Total Agricultural Land Holders _Others_Area_Total"
Hukkeri,42228,3308,0,45536,56600,4090,0,60690
Hulasuru,0,0,0,0,0,0,0,0
Humnabad,23362,6921,0,30283,41527.41,11716.63,0,53244.04
Hungund,34280,8756,0,43036,76342.28,19054.15,0,95396.43
Hunisigi,0,0,0,0,0,0,0,0
Hunsur,31963,10713,0,42676,31302.99,10152.63,0,41455.62
Ilkal,0,0,0,0,0,0,0,0
Indi,62211,8577,0,70788,158755.03,20208.73,0,178963.76
Jagaluru,18168,6062,0,24230,33141.6,10843.84,0,43985.44
Jamakhandi,44737,5948,0,50685,75249.98,9249.21,0,84499.19
Jevargi,45507,14993,0,60500,107859,32676.99,0,140535.99
Joida,4286,1124,0,5410,6741.61,1581.27,0,8322.88
K.G.F,23756,5243,0,28999,18026.63,3619.06,0,21645.69
K.R.Nagar,45111,12569,0,57680,27680.42,7453.25,0,35133.67
Kadaba,11437,5316,0,16753,9106.75,4025.09,0,13131.84
Kadur,57278,10540,0,67818,72778.96,12365.16,0,85144.12
Kagavada,0,0,0,0,0,0,0,0
Kalagi,0,0,0,0,0,0,0,0
Kalgatgi,18425,3411,0,21836,33346.95,5866.56,0,39213.51
Kamalanagara,0,0,0,0,0,0,0,0
Kamalapura,0,0,0,0,0,0,0,0
Kampli,11164,3897,0,15061,16996.62,5458.26,0,22454.88
Kanakagiri,0,0,0,0,0,0,0,0
Kanakpura,67848,18625,0,86473,48635.74,12924.27,0,61560.01
Kapu,9284,7552,0,16836,4832,4980,0,9812
Karatagi,0,0,0,0,0,0,0,0
Karkala,17203,13585,0,30788,16979,13686,0,30665
Karwar,16902,7462,0,24364,6412.39,2332.36,0,8744.75
Khanapur,32917,2861,0,35778,61563,4935,0,66498
Kitthuru,0,0,0,0,0,0,0,0
Kolar,51682,10594,0,62276,34878.93,6682.44,0,41561.37
Kolhara,0,0,0,0,0,0,0,0
Kollegala,39795,10140,0,49935,43916.09,10207.89,0,54123.98
Kollegala(Hanur),0,0,0,0,0,0,0,0
Koppa,7709,2624,0,10333,11808.02,4061.72,0,15869.74
Koppal,31757,7234,0,38991,62573.25,13076.47,0,75649.72
Koratagere,20304,6428,0,26732,27155.56,7928.11,0,35083.67
Kotturu,11795,2987,0,14782,24874.33,5856.73,0,30731.06
Krishnarajpet,63033,19219,0,82252,41917.4,11535.1,0,53452.5
Kudligi,15524,3624,0,19148,31360.41,6823.3,0,38183.71
Kukanuru,0,0,0,0,0,0,0,0
Kumta,22016,6787,0,28803,10089.66,2852.87,0,12942.53
Kundapur,28472,22824,0,51296,17215,14106,0,31321
Kundgol,23514,3532,0,27046,49959.14,7394.46,0,57353.6
Kunigal,43450,10028,0,53478,45291.08,9945.97,0,55237.05
Kurugodu,11997,4312,0,16309,23540.97,6741.23,0,30282.2
Kushtagi,40219,7511,0,47730,79399.5,14107.47,0,93506.97
Laxmeshwar,0,0,0,0,0,0,0,0
Lingasugur,31694,4704,0,36398,77219.69,9296.67,0,86516.36
Maddur,62582,19370,0,81952,31393.72,8204.84,0,39598.56
Madhugiri,30872,7907,0,38779,42792.47,9875.34,0,52667.81
Madikeri,16766,2600,0,19366,44007.61,5302.52,0,49310.13
Magadi,47066,12353,0,59419,36532.32,9870.36,0,46402.68
Malavalli,61644,18050,0,79694,34707.17,8628.72,0,43335.89
Malur,31542,7841,0,39383,27571.99,6152.6,0,33724.59
Mandya,74434,25193,0,99627,36221.44,10530.38,0,46751.82
Mangalore,14495,8630,0,23125,12071.33,7068.42,0,19139.75
Manvi,36880,9597,0,46477,86366.09,20050.35,0,106416.44
Maski,2546,564,0,3110,1339.55,523.79,0,1863.34
Molakalmuru,9357,3368,0,12725,17950.91,6619.23,0,24570.14
Mudabidri,9664,5752,0,15416,8047.56,4712.28,0,12759.84
Mudalagi,0,0,0,0,0,0,0,0
Muddebihal,36599,6381,0,42980,98552.21,16077.16,0,114629.37
Mudhol,31456,6933,0,38389,60521.86,12854.97,0,73376.83
Mudigere,14426,4761,0,19187,30188.38,9056,0,39244.38
Mulabagilu,40162,8181,0,48343,33637.91,6395.58,0,40033.49
Mundargi,19155,3548,0,22703,44115.83,7673.43,0,51789.26
Mundgod,7345,1661,0,9006,10133.93,2303.7,0,12437.63
Mysuru,35642,13274,0,48916,23754.98,8737.67,0,32492.65
Nagamangala,65439,18044,0,83483,47648.53,11949.92,0,59598.45
Nanjangud,47095,8476,0,55571,44124.97,6730.53,0,50855.5
Naragund,13798,2680,0,16478,32534.48,5760.46,0,38294.94
Narasimharajapura,5783,1848,0,7631,9074.01,2653.85,0,11727.86
Navalgund,31114,5685,0,36799,82265.28,14071.03,0,96336.31
Nelamangala,25551,8119,0,33670,22832.01,6599.45,0,29431.46
Nidagundi,0,0,0,0,0,0,0,0
Nippani,0,0,0,0,0,0,0,0
Nyamati,0,0,0,0,0,0,0,0
Pandavpura,37956,12317,0,50273,22115.43,6382.41,0,28497.84
Pavagada,19585,6054,0,25639,51516.43,14574.33,0,66090.76
Piriyapatna,31862,9372,0,41234,30268.26,9459.25,0,39727.51
Puttur,17157,7975,0,25132,13660.13,6037.66,0,19697.79
"Rabakavi Banahatti",0,0,0,0,0,0,0,0
Raibag,40145,3097,0,43242,69593,4353,0,73946
Raichur,34037,6378,0,40415,65899.61,10798.72,0,76698.33
Ramadurg,34324,3914,0,38238,76975,8561,0,85536
Ramanagar,32384,9472,0,41856,23813.74,6642.34,0,30456.08
Ranebennur,31454,3587,0,35041,52524.86,5296.95,0,57821.81
Ratteehalli,0,0,0,0,0,0,0,0
Rona,43044,6512,0,49556,95498.08,13801.68,0,109299.76
Sagara,23492,7215,0,30707,25645.83,7628.85,0,33274.68
Sakleshpura,19221,4812,0,24033,34587.77,7628.33,0,42216.1
Saraguru,0,0,0,0,0,0,0,0
Savadatti,43318,4458,0,47776,99015,10638,0,109653
Savanur,18407,1868,0,20275,38161.37,3605.56,0,41766.93
Sedam,28748,8065,0,36813,55960.27,15592.4,0,71552.67
Shahapur,44971,10748,0,55719,94620.77,22472.88,0,117093.65
Shahbadha,0,0,0,0,0,0,0,0
Shidlagatta,8682,2939,0,11621,7322.14,2765.64,0,10087.78
Shiggaon,17592,2812,0,20404,33084.12,5295.97,0,38380.09
Shikaripura,26255,6391,0,32646,31752.42,7377.24,0,39129.66
Shimoga,24132,7563,0,31695,27614.83,8639.58,0,36254.41
Shirahatti,26103,4127,0,30230,56718.48,8018.11,0,64736.59
Shorapur,42962,9424,0,52386,93679.51,19793.5,0,113473.01
Siddapur,13737,3822,0,17559,11378.81,3098.38,0,14477.19
Sindagi,58691,9234,0,67925,159061.07,23602.79,0,182663.86
Sindhanur,22829,7413,0,30242,47161.07,13571.83,0,60732.9
Sira,33257,10228,0,43485,62098.05,17500.61,0,79598.66
Siraguppa,26947,9406,0,36353,52295.35,15808.78,0,68104.13
Sirivara,5214,2108,0,7322,2654,564.6,0,3218.6
Sirsi,16534,4155,0,20689,18669.7,4170.41,0,22840.11
Somawarpet,19189,4722,0,23911,34280.25,7812.72,0,42092.97
Sonduru,14990,3202,0,18192,20199.82,4134.26,0,24334.08
Soraba,28582,6235,0,34817,40148.98,8908.18,0,49057.16
Sringeri,4091,1376,0,5467,4023.57,1330.99,0,5354.56
Srinivaspura,28761,5765,0,34526,28627.01,5013.03,0,33640.04
Srirangapatna,29371,9696,0,39067,16385.36,4883.12,0,21268.48
Sulya,16411,5838,0,22249,16646.16,5419.13,0,22065.29
T.Narasipura,50264,12699,0,62963,28012.77,7078.36,0,35091.13
Talikote,0,0,0,0,0,0,0,0
Tarikere,40026,7732,0,47758,47785.22,8513.54,0,56298.76
Thirthahalli,18335,5743,0,24078,19877.54,6362.1,0,26239.64
Tikota,0,0,0,0,0,0,0,0
Tiptur,36568,9403,0,45971,41777.75,9393.02,0,51170.77
Tumkur,44581,12916,0,57497,43919.69,12076.2,0,55995.89
Turuvekere,38204,9152,0,47356,37937.67,7455.04,0,45392.71
Udupi,6954,5650,0,12604,6400,4840,0,11240
Vadagera,0,0,0,0,0,0,0,0
Virajpet,17484,2503,0,19987,53629.21,6818.21,0,60447.42
Yadgir,50393,8244,0,58637,85733.53,15065.37,0,100798.9
Yadrami,0,0,0,0,0,0,0,0
Yalandur,8849,1692,0,10541,5209.64,899.1,0,6108.74
Yelahanka,0,0,0,0,0,0,0,0
Yelburga,41226,9608,0,50834,90834.98,20057.57,0,110892.55
Yellapur,7170,1355,0,8525,7832.17,1365.55,0,9197.72
"State total",5736530,1430930,0,7167460,8133012.81,1743813.56,0,9876826.37
