State_UT,15+_Male,15+_Female,25+_Male,25+_Female
Andhra Pradesh,8.5,6.8,7.8,6.2
Arunachal Pradesh,8.2,7.1,7.5,6.5
Assam,8.9,7.4,8.2,6.8
Bihar,7.2,4.8,6.5,4.0
Chhattisgarh,8.1,6.5,7.4,5.9
Goa,10.5,9.2,9.8,8.5
Gujarat,9.2,7.8,8.5,7.1
Haryana,9.0,7.5,8.3,6.9
Himachal Pradesh,10.8,9.8,10.1,9.0
Jharkhand,7.8,5.9,7.1,5.2
Karnataka,9.5,8.0,8.8,7.3
Kerala,11.2,10.8,10.5,10.1
Madhya Pradesh,8.3,6.7,7.6,6.0
Maharashtra,10.2,8.5,9.5,7.8
Manipur,9.8,8.9,9.1,8.2
Meghalaya,8.7,7.9,8.0,7.2
Mizoram,10.1,9.5,9.4,8.8
Nagaland,9.3,8.6,8.6,7.9
Odisha,8.6,7.0,7.9,6.3
Punjab,9.7,8.9,9.0,8.2
Rajasthan,8.4,6.2,7.7,5.5
Sikkim,9.9,9.1,9.2,8.4
Tamil Nadu,10.0,8.2,9.3,7.5
Telangana,9.1,7.6,8.4,6.9
Tripura,9.4,8.3,8.7,7.6
Uttar Pradesh,8.1,5.9,7.4,5.2
Uttarakhand,9.6,8.4,8.9,7.7
West Bengal,9.0,7.7,8.3,7.0
Andaman & Nicobar Islands,10.3,9.0,9.6,8.3
Chandigarh,11.0,10.2,10.3,9.5
Delhi,11.0,10.2,10.3,9.5
Jammu & Kashmir,9.2,7.9,8.5,7.2
Puducherry,10.4,9.1,9.7,8.4
All India,9.0,7.5,8.5,6.8
