Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",Urban,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,5,"HSS (VI-XII)",1,"Department of Education",Rural,3,Co-Ed,5,4,0,4,5,5,5,5,5,5,0,0,0,0,4,5,0,5,4,5,1,4,5,5,4,3,5,0,3,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,5,"HSS (VI-XII)",4,"Government Aided",Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,5,"HSS (VI-XII)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,5,"HSS (VI-XII)",1,"Department of Education",Urban,3,Co-Ed,2,2,0,2,2,2,2,0,2,2,0,0,0,0,2,2,0,1,2,2,0,2,2,2,2,1,2,0,2,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,1,"PS (I-V)",2,"Tribal Welfare Department",Rural,3,Co-Ed,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,1,"PS (I-V)",3,"Local body",Rural,3,Co-Ed,46,46,0,9,46,46,46,24,35,37,0,0,0,0,44,13,0,0,42,10,0,45,46,5,41,0,41,0,31,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,1,"PS (I-V)",4,"Government Aided",Rural,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,1,"PS (I-V)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,8,8,0,8,8,8,8,8,8,8,0,0,0,0,8,8,0,0,0,5,3,8,5,7,7,0,2,0,8,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,1,"PS (I-V)",3,"Local body",Urban,3,Co-Ed,9,9,0,2,9,9,9,6,8,8,0,0,0,0,8,3,0,0,9,1,0,9,9,0,8,0,8,0,6,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,1,"PS (I-V)",5,"Private Unaided (Recognized)",Urban,3,Co-Ed,2,1,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,2,0,1,0,1,2,0,0,0,2,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,6,"SS (I-X)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,1,0,1,1,2,2,2,2,1,0,0,2,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,6,"SS (I-X)",5,"Private Unaided (Recognized)",Urban,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,2,0,2,1,2,2,2,2,2,0,0,2,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,7,"SS (VI-X)",1,"Department of Education",Rural,3,Co-Ed,6,6,0,5,6,6,6,4,6,6,0,0,0,0,6,5,0,5,2,6,0,6,6,6,6,5,5,0,4,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,2,"UPS (I-VIII)",3,"Local body",Rural,3,Co-Ed,19,19,0,19,19,19,19,15,15,16,0,0,0,0,19,8,0,0,19,5,0,19,19,2,17,0,19,0,9,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,2,"UPS (I-VIII)",3,"Local body",Urban,3,Co-Ed,3,3,0,3,3,3,3,1,3,3,0,0,0,0,3,2,0,0,3,1,0,3,3,1,2,0,2,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,2,"UPS (I-VIII)",4,"Government Aided",Urban,3,Co-Ed,2,2,0,0,2,2,2,2,2,2,0,0,0,0,1,2,0,0,2,1,0,2,2,2,2,0,2,0,0,0,0
2012-13,33,Tamilnadu,3310,ERODE,331001,AMMAPETTAI,4,"UPS (VI-VIII)",6,"Other Govt. managed schools",Rural,2,Girls,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,5,"HSS (VI-XII)",1,"Department of Education",Urban,1,Boys,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,5,"HSS (VI-XII)",1,"Department of Education",Urban,2,Girls,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,5,"HSS (VI-XII)",1,"Department of Education",Rural,3,Co-Ed,2,2,0,2,2,2,2,1,2,2,0,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,5,"HSS (VI-XII)",4,"Government Aided",Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,5,"HSS (VI-XII)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,3,3,0,3,3,3,3,3,3,3,0,0,0,0,3,3,0,3,0,3,0,3,2,3,3,3,0,0,3,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,1,"PS (I-V)",2,"Tribal Welfare Department",Rural,3,Co-Ed,4,4,0,0,4,4,4,0,0,0,0,0,0,0,2,0,0,0,1,3,0,4,4,2,3,0,3,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,1,"PS (I-V)",3,"Local body",Rural,3,Co-Ed,40,40,0,12,40,40,40,25,22,27,0,0,0,0,6,5,0,0,36,18,0,39,40,8,35,0,32,0,24,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,1,"PS (I-V)",4,"Government Aided",Rural,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,2,1,0,2,2,2,2,0,2,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,1,"PS (I-V)",5,"Private Unaided (Recognized)",Rural,3,Co-Ed,2,2,0,0,2,2,1,2,2,2,0,0,0,0,1,1,0,0,0,1,0,2,2,1,2,0,0,0,2,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,1,"PS (I-V)",3,"Local body",Urban,3,Co-Ed,6,6,0,4,6,6,6,2,3,3,0,0,0,0,1,0,0,0,6,3,0,6,6,1,4,0,5,0,5,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,1,"PS (I-V)",4,"Government Aided",Urban,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
2012-13,33,Tamilnadu,3310,ERODE,331002,ANTHIYUR,1,"PS (I-V)",5,"Private Unaided (Recognized)",Urban,3,Co-Ed,5,5,0,5,5,5,5,5,5,5,0,0,0,0,3,5,0,0,0,4,0,5,4,5,5,0,0,0,5,0,0
