Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,10,"HSS (IX-XII)",1,"Department of Education",Rural,3,Co-educational,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,5,"HSS (VI-XII)",1,"Department of Education",Rural,3,Co-educational,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,1,"PS (I-V)",1,"Department of Education",Rural,3,Co-educational,20,20,2,0,6,6,1,4,5,5,2,2,2,2,2,3,0,0,1,18,1,1,5,0,9,0,2,1,20,0,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,6,"SS (I-X)",1,"Department of Education",Rural,3,Co-educational,2,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,2,"UPS (I-VIII)",1,"Department of Education",Rural,3,Co-educational,33,32,5,3,7,7,16,4,3,5,2,3,3,3,9,4,0,0,4,32,0,0,5,0,21,1,3,0,33,2,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,2,"UPS (I-VIII)",4,"Government Aided",Rural,3,Co-educational,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,0,1,2,1,1,2,2,2,0,1,0,2,2,1
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",Rural,3,Co-educational,3,3,1,1,2,2,2,2,2,2,0,0,0,0,3,3,1,1,1,2,0,0,1,0,1,0,1,0,3,2,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122201,RAGA,4,"UPS (VI-VIII)",1,"Department of Education",Rural,2,Girls,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122202,PUCHIGEKO,3,"HSS (I-XII)",1,"Department of Education",Rural,3,Co-educational,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122202,PUCHIGEKO,5,"HSS (VI-XII)",1,"Department of Education",Rural,3,Co-educational,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122202,PUCHIGEKO,5,"HSS (VI-XII)",93,"Jawahar Navodaya Vidyalaya",Rural,3,Co-educational,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122202,PUCHIGEKO,1,"PS (I-V)",1,"Department of Education",Rural,3,Co-educational,8,8,2,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,1,2,0,6,0,0,1,8,0,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122202,PUCHIGEKO,2,"UPS (I-VIII)",1,"Department of Education",Rural,3,Co-educational,12,12,3,0,4,6,2,0,0,0,0,0,0,0,2,2,2,1,1,8,0,1,6,0,8,0,0,2,12,0,0
2018-19,12,"Arunachal Pradesh",1222,KAMLE,122202,PUCHIGEKO,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",Rural,3,Co-educational,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,1,0,1,0,2,0,0
