Sl.No.,"NIC 2004 *",Description,"No Power Needed",Coal,Oil,"LPG / CNG","Elect ricity","Non-Conven tional Energy","Tradi tional energy /Fire wood",Others,Total
1,01,"AGRICULTURE,HUNTING AND RELATED SERVICE ACTIVITIES",1973,16,119,23,1604,9,57,62,3863
2,02,"FORESTRY,LOGGING AND RELATED SERVICE ACTIVITIES",250,96,29,3,577,3,35,58,1051
3,13,"MINING OF METAL ORES",32,13,19,2,415,0,1,3,485
4,14,"OTHER MINING AND QUARRYING",1597,117,1105,20,10067,20,279,165,13370
5,15,"FOOD PRDUCTS & BEVERAGES",12635,2101,30078,2084,165002,400,8470,2248,223018
6,16,"TOBACCO PRODUCTS",1625,374,161,7,2545,7,240,150,5109
7,17,TEXTILES,27690,278,605,126,75378,134,450,1435,106096
8,18,"WEARING APPAREL",117055,503,586,251,89175,592,500,5107,213769
9,19,"LEATHER & LEATHER PRODUCTS",13240,142,84,32,12064,90,62,874,26588
10,20,"WOOD & WOOD PRODUCTS",18708,238,1213,127,33640,145,235,889,55195
11,21,"PAPER & PAPER PRODUCTS",1094,38,175,39,11917,22,33,116,13434
12,22,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",3914,59,663,78,36066,41,44,418,41283
13,23,"COKE & REFINED PETROLEUM PRODUCTS",183,76,312,7,1675,2,28,34,2317
14,24,"CHEMICALS & CHEMICAL PRODUCTS",9882,452,779,236,35903,107,2088,1761,51208
15,25,"RUBBER & PLASTIC PRODUCTS",3421,139,697,111,31986,58,304,324,37040
16,26,"OTHER NON-METALLIC MINERAL PRODUCTS",8807,8925,2281,263,32357,83,4937,1328,58981
17,27,"BASIC METALS",836,665,242,103,17716,21,92,167,19842
18,28,"FABRICATED METAL PRODUCTS",9912,5343,4938,737,116058,195,1662,1232,140077
19,29,"MACHINERY & EQUIPMENT N.E.C.",8972,3324,1476,204,56233,98,1427,1212,72946
20,30,"OFFICE, ACCOUNTING & COMPUTING MACHINERY",146,4,32,4,4546,4,2,13,4751
21,31,"ELECTRICAL MACHINERY & APPARATUS N.E.C.",3772,85,750,110,29753,79,56,252,34857
22,32,"RADIO, TV & COMMUNICATION EQUIPMENT & APPARATUS",4425,37,228,30,10975,68,30,208,16001
23,33,"MEDICAL, PRECISION & OPTICAL INSTRUMENTS, WATCHES & CLOCKS",590,28,118,30,9867,11,10,55,10709
24,34,"MOTOR VEHICLES, TRAILERS & SEMI-TRAILERS",660,16,158,19,4908,12,4,63,5840
25,35,"OTHER TRANSPORT EQUIPMENT",2148,65,286,61,12907,39,30,175,15711
26,36,FURNITURE,36847,825,1652,1029,55462,201,1338,2180,99534
27,37,RECYCLING,23,1,2,4,149,0,2,6,187
28,40,"ELECTRICITY, GAS, STEAM & HOT WATER SUPPLY",172,8,15,5,436,2,9,10,657
29,41,"COLLECTION, PURUFICATION & DISTRIBUTION OF WATER",21,1,3,0,90,0,0,0,115
30,45,CONSTRUCTION,32,0,2,0,156,0,1,2,193
31,50,"REPAIR & MAINTENANCE OF MOTOR VEHICLES; RETAIL SALE OF AUTOMOTIVE FUEL",18393,108,1523,220,36527,125,196,1089,58181
32,51,"WHOLESALE TRADE & COMMISSION TRADE",175,0,14,3,1217,3,4,6,1422
33,52,"REPAIR & MAINTENANCE OF PERSONAL & HOUSEHOLD GOODS; RETAIL TRADE",58138,349,1299,300,69486,185,333,2208,132298
34,55,"HOTELS & RESTAURANTS",212,41,66,213,553,2,198,31,1316
35,60,"LAND TRANSPORT",62,0,60,2,113,0,0,6,243
36,63,"SUPPORTING & AUXILLIARY TRANSPORT &  TRAVEL AGENTS ACTIVITIES",67,2,88,4,2331,3,2,4,2501
37,64,"POST & TELECOMMUNICATIONS",2127,20,54,12,14584,70,11,272,17150
38,70,"REAL ESTATE ACTIVITIES",45,0,11,1,78,0,0,0,135
39,71,"RENTING OF MACHINERY & EQUIPMENT AND PERSONAL & HOUSEHOLD GOODS",170,3,27,2,274,1,2,11,490
40,72,"COMPUTER AND RELATED ACTIVITIES",1440,21,169,29,19031,18,11,56,20775
41,73,"RESEARCH AND DEVELOPMENT",3,0,0,0,2,0,0,0,5
42,74,"OTHER BUSINESS ACTIVITIES",3525,59,671,45,21813,32,80,273,26498
43,80,EDUCATION,60,0,14,1,682,0,1,4,762
44,85,"HEALTH AND SOCIAL WORK",284,3,60,0,994,2,2,18,1363
45,92,"RECREATIONAL, CULTURAL AND SPORTING ACTIVITIES",408,6,46,5,2055,1,1,44,2566
46,93,"OTHER SERVICE ACTIVITIES",2302,117,45,13,5832,13,89,207,8618
47,NA,"Not Recorded",1161,95,192,44,13775,6,48,103,15424
NA,NA,"All India",379234,24793,53147,6639,1048974,2904,23404,24879,1563974
